title,published_at,section,read_minutes,canonical_url,source_capture_date,provenance_note
"Andre Beteille: A grammarian of culture",2026-02-20,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The Aravallis: A Gadgilesque reimagination",2026-01-27,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Reimagining democracy: Making sense of the present with eye on the future",2026-01-13,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Why a museum isn't enough to memorialise Bhopal gas tragedy",2025-12-23,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A shaman who shattered the lens of the Anthropocene",2025-12-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Before dissent, need playfulness in nationalism",2025-11-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Warp and weft of peacemaking amid violence",2025-10-21,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The drying up of democratic imagination",2025-10-07,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Rethinking Swadeshi in Trumpian era",2025-09-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Needed: A new satyagraha for peace",2025-08-15,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Making ethical sense of too many deaths",2025-07-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Why patriotism is no substitute for morality",2025-06-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"New dream for South Asia to give peace a chance",2025-05-21,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The individual: For whom the bell tolls",2025-04-22,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"When violence is built into the logic of policy",2025-04-09,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The World of Raghu Rai",2025-03-29,Columns,3,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Wielding culture as a cudgel in Trumpian era",2025-03-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"How to frame everyday ethics for the new era",2025-02-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The banalisation of Kejriwal and Aam Aadmi Party",2025-02-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Innovation needs a dose of feminism",2025-01-21,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"What India needs to transform to outthink the west",2024-12-10,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Rethinking our constitution for the Anthropocene",2024-11-26,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"How to place the citizen back in democracy",2024-11-14,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A Century Of The Politics Of Left And Right",2024-10-30,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"How to reverse the ecocide of Anthropocene",2024-10-15,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Remembering the many sides of the Mahatma",2024-10-01,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Time to look at knowledge panchayats",2024-09-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The missing props of democracy in films, cricket and science",2024-08-17,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A green cross to revitalise civil society",2024-07-24,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A victory of meaning over mathematics",2024-06-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Imagining a future through scholars past",2024-05-18,Opinion,5,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A professor who championed playful plurality",2024-02-13,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Hopes for a New Republic of old stories",2024-01-26,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Leave broad brush and use diverse colours of India",2023-11-21,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"India needs to imagine a new peace",2023-11-07,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A case for conscience and humanity",2023-10-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"India's very own truth commission",2023-10-10,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"One book that binds them all together",2023-09-26,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Going beyond Big Science, embracing creative society",2023-09-14,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A plea for ethics to re-enter the realm of politics",2023-08-22,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The strange emptiness of democracy",2023-08-13,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Don't make science bureaucratic, let the play stay",2023-08-08,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Rereading the violence in Manipur",2023-07-26,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Reworking the definitions of democracy",2023-07-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Preserving orality in the modern era",2023-06-27,Opinion,5,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Civil society as an architect of new peace",2023-06-13,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The return of civil society is imperative",2023-05-23,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Reintroducing playfulness in science",2023-05-09,Opinion,5,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The future now: Remembering Rajni Kothari",2023-04-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Erase history from books, but it won't leave memory",2023-04-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The necessity of knowledge panchayats",2023-03-22,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The Anthropocene and survival of man on Earth",2023-03-08,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Democratic politics and the need for theatre",2023-02-21,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Reinventing civil societies and democracy",2023-02-07,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Importance of dialogue in democracy",2023-01-25,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"An open letter to Rahul Gandhi",2023-01-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Walking with Rahul Gandhi",2022-12-27,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Ethics is one illiteracy that democracy must focus on now",2022-12-14,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Knowledge gasping for air in tutorial college nation",2022-11-23,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Remembering Ela Bhatt",2022-11-08,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The living myth of Amitabh Bachchan",2022-10-26,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"New cultures of peace",2022-10-11,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Need new morals to confront banal violence",2022-09-27,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A regime that manipulates very sense of democracy and the disquieting silence of citizenship",2022-09-13,Opinion,4,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The sadness of the university",2022-08-27,Opinion,5,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The sadness of the university today",2022-08-27,Opinion,5,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"A tale of three concepts in independent India",2022-08-15,Opinion,6,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"The Rise of Bangladesh as a Cricketing Nation",2015-07-24,Opinion,5,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
"Khandwa to Koodankulam: Metaphor is the message",2012-10-13,Magazine,2,,2026-02-22,"TNIE Shiv author page Ctrl-A copy"
